# SPDX-License-Identifier: MIT
# host-720p.csv, from the run -- sottr-4q policy, 2026-08-21.
ts,used_mib,free_mib,util_gpu,util_mem,sm_clk,mem_clk,temp_c,power_w,enc_util,dec_util,ram_avail_mib,vm15_mib,vm17_mib
14:47:18,4444,3328,74,22,1620,6801,81,113.22,20,4,6835,1287,1586
14:47:19,4398,3374,74,22,1815,6801,80,109.25,20,3,6837,1288,1539
14:47:20,4150,3623,43,13,1815,6801,81,109.76,18,3,6798,1328,1267
14:47:21,4212,3561,43,14,1815,6801,80,110.12,18,3,6854,1371,1269
14:47:22,4317,3455,41,13,1800,6801,80,122.40,18,3,6876,1406,1295
14:47:23,4395,3377,46,15,1815,6801,80,109.97,18,4,6862,1432,1355
14:47:25,4490,3282,43,15,1815,6801,80,110.18,18,3,6861,1449,1434
14:47:26,4520,3252,43,14,1815,6801,80,109.73,18,4,7040,1455,1459
14:47:27,4606,3167,42,14,1815,6801,80,109.95,18,4,7062,1489,1509
14:47:28,4688,3084,44,14,1815,6801,80,109.29,18,3,7056,1548,1568
14:47:29,4806,2967,42,14,1815,6801,80,109.93,18,4,7058,1605,1625
14:47:30,4956,2817,43,15,1815,6801,80,109.88,18,4,7044,1682,1706
14:47:31,5153,2620,41,14,1815,6801,79,96.58,18,4,7026,1781,1799
14:47:32,5195,2578,32,10,1605,6801,77,85.37,19,4,7029,1801,1820
14:47:33,5226,2547,36,10,1515,6801,76,72.84,22,5,7048,1818,1838
14:47:35,5290,2483,35,10,1440,6801,75,73.26,22,5,7047,1840,1859
14:47:36,5308,2465,41,10,1620,6801,75,85.19,21,4,7034,1857,1877
14:47:37,5356,2416,40,11,1785,6801,77,97.57,21,4,6995,1859,1879
14:47:38,5337,2436,37,11,1785,6801,77,97.38,19,4,7034,1859,1869
14:47:39,5384,2389,35,11,1635,6801,75,85.28,19,4,7033,1878,1897
14:47:40,5404,2369,36,10,1545,6801,74,72.68,21,4,7005,1894,1914
14:47:42,5437,2336,38,11,1590,6801,75,85.13,22,5,7042,1923,1941
14:47:43,5527,2245,36,11,1590,6801,74,85.86,22,4,7045,1986,1973
14:47:44,5641,2132,37,11,1530,6801,74,73.49,22,5,7064,2017,2046
14:47:45,5696,2077,38,11,1545,6801,74,85.77,22,5,7047,2062,2065
14:47:46,5785,1988,41,12,1830,6801,77,109.68,21,4,7041,2117,2102
14:47:47,5872,1900,47,15,1830,6801,78,122.46,19,4,7042,2142,2162
14:47:48,5992,1781,53,18,1830,6801,79,122.61,19,4,7005,2202,2222
14:47:49,6109,1664,56,19,1830,6801,80,123.08,19,4,6996,2260,2280
14:47:51,6233,1539,65,22,1830,6801,80,122.91,19,4,7010,2315,2353
14:47:52,6307,1466,60,20,1830,6801,80,122.85,18,4,6953,2359,2380
14:47:53,6359,1414,57,20,1830,6801,79,122.30,18,4,6980,2377,2413
14:47:54,6382,1391,55,19,1830,6801,79,109.36,19,4,6957,2396,2417
14:47:55,6403,1369,43,14,1830,6801,79,122.32,19,4,6965,2401,2438
14:47:56,6490,1282,50,16,1815,6801,80,122.68,19,4,6919,2450,2471
14:47:57,6496,1277,58,20,1815,6801,79,109.41,19,4,6915,2453,2493
